Samsung Price,Samsung Vol,Kospi Price,Kospi Vol,KRX Price,KRX Vol
51900,39565391,"2,461.38","612,024","2,572.67","10,981,412"
52600,23104720,"2,449.81","714,734","2,539.70","11,266,686"
50900,16128305,"2,443.98","593,366","2,587.42","10,789,315"
51600,13905263,"2,464.16","490,005","2,615.18","9,730,015"
51300,10314997,"2,477.71","599,901","2,643.65","10,599,897"
50100,14909272,"2,476.11","650,708","2,596.90","9,660,027"
49200,18709146,"2,458.54","712,620","2,607.76","9,801,982"
49850,15918683,"2,459.82","691,813","2,596.77","12,170,193"
49400,10365440,"2,448.45","596,772","2,601.09","11,579,595"
49500,6706570,"2,460.65","431,377","2,646.36","12,813,615"
50000,9020998,"2,465.57","588,088","2,648.12","12,254,917"
51800,17095490,"2,471.91","752,676","2,748.73","23,260,731"
51400,8289275,"2,466.01","638,126","2,736.75","17,912,968"
52700,15207266,"2,460.80","653,592","2,741.53","15,938,798"
52300,9787820,"2,478.96","708,362","2,731.43","16,647,983"
51300,8480437,"2,457.25","571,837","2,727.93","16,706,587"
49500,20498098,"2,409.03","575,922","2,742.44","16,506,256"
50700,63491109,"2,423.01","816,930","2,732.06","14,344,634"
51300,13038499,"2,438.96","603,023","2,710.60","11,634,123"
51100,9767171,"2,447.76","438,929","2,688.19","10,536,829"
51300,9144100,"2,453.76","501,364","2,747.08","12,744,457"
50600,13590016,"2,470.58","474,147","2,773.29","10,812,166"
49650,16951706,"2,451.58","530,160","2,721.28","12,562,462"
49900,10571312,"2,470.15","427,947","2,724.96","9,689,184"
49400,12110569,"2,468.83","613,166","2,720.57","10,514,993"
48200,20971729,"2,423.48","533,448","2,674.75","21,862,160"
47650,17080892,"2,404.04","502,362","2,653.08","14,323,476"
46600,16661870,"2,376.24","564,819","2,544.98","17,873,622"
47000,15217971,"2,340.11","606,305","2,505.12","14,989,731"
47000,12959316,"2,363.91","456,004","2,590.86","11,799,298"
47050,10015541,"2,337.83","438,264","2,562.14","10,315,486"
47250,10298006,"2,357.22","537,264","2,591.94","11,445,591"
46650,10587711,"2,357.88","415,080","2,551.03","16,442,861"
47000,11223166,"2,350.92","470,915","2,545.83","13,882,183"
47950,15274752,"2,342.03","526,625","2,526.86","10,379,211"
46800,12784800,"2,314.24","414,371","2,457.19","11,174,074"
46650,14099635,"2,326.13","396,663","2,481.92","9,994,765"
45550,13112253,"2,271.54","393,266","2,394.17","10,596,112"
46150,10959655,"2,272.76","366,028","2,445.30","11,281,323"
46250,8776763,"2,265.46","315,103","2,456.92","8,525,255"
45950,7039773,"2,257.55","346,884","2,470.93","7,520,346"
44900,17843706,"2,272.87","344,433","2,503.83","9,395,510"
45600,11602464,"2,285.80","352,639","2,535.70","7,913,864"
46300,10528665,"2,294.16","339,919","2,553.30","12,004,424"
46000,11224077,"2,280.62","422,989","2,529.32","13,364,843"
45500,11828104,"2,285.06","364,408","2,560.71","13,058,512"
46500,11543389,"2,310.90","291,563","2,606.37","11,684,057"
46050,7678719,"2,301.99","297,122","2,596.06","7,526,135"
45850,8892953,"2,297.92","379,034","2,600.09","13,173,836"
46550,10952645,"2,290.11","402,772","2,615.77","10,626,773"
46900,9880128,"2,282.29","464,516","2,605.78","8,917,469"
47450,10474547,"2,289.19","353,236","2,567.23","10,293,961"
46500,10823782,"2,269.31","334,291","2,426.14","16,117,209"
46150,8261363,"2,280.20","436,133","2,468.39","10,623,358"
46150,7222471,"2,273.03","309,320","2,412.72","13,403,054"
46900,7374946,"2,289.06","303,334","2,484.43","13,955,247"
46900,4762460,"2,294.99","262,144","2,562.54","13,615,048"
46500,5723035,"2,293.51","206,498","2,555.71","8,945,832"
46250,8033607,"2,295.26","223,927","2,562.04","10,552,905"
46550,7484499,"2,307.07","219,035","2,578.42","12,706,815"
45550,8560924,"2,270.20","352,057","2,530.18","11,979,009"
45750,8274944,"2,287.68","270,494","2,544.32","10,988,038"
45800,6771979,"2,286.50","244,549","2,487.72","12,998,488"
46700,9058174,"2,300.16","230,340","2,506.81","11,841,146"
46800,6429338,"2,301.45","299,691","2,505.02","12,161,040"
46900,12010886,"2,303.71","244,883","2,477.66","11,206,194"
45400,16670643,"2,282.79","286,161","2,425.90","15,578,093"
45050,9803831,"2,248.45","335,381","2,344.75","11,121,516"
45150,6409259,"2,258.91","255,216","2,350.70","9,002,963"
44250,10088229,"2,240.80","312,519","2,342.58","13,184,629"
44100,6808747,"2,247.05","238,378","2,324.49","11,050,072"
43850,7289124,"2,247.88","271,600","2,304.04","7,235,644"
44800,9520270,"2,270.06","294,337","2,383.55","11,454,591"
46100,11641656,"2,273.33","269,271","2,376.30","11,805,602"
46200,6730918,"2,282.60","338,386","2,377.12","8,496,078"
46150,6582535,"2,293.21","347,292","2,382.96","9,516,371"
46300,5263782,"2,299.30","307,045","2,420.53","9,030,901"
46550,7365976,"2,303.12","276,889","2,406.97","10,076,118"
46800,5572374,"2,309.03","268,215","2,450.36","15,282,150"
47650,12193231,"2,307.35","286,926","2,442.31","8,961,695"
48450,13577454,"2,322.88","255,909","2,467.13","12,081,712"
47450,8595084,"2,307.03","230,513","2,459.31","12,589,875"
47650,6791255,"2,315.72","277,014","2,463.20","10,090,069"
46600,9139998,"2,291.77","358,187","2,457.24","14,690,755"
46100,9040553,"2,287.61","387,511","2,422.28","12,530,752"
44900,18285508,"2,281.58","357,561","2,359.45","19,666,672"
45500,9979838,"2,288.66","312,613","2,368.10","13,495,864"
45050,9865790,"2,283.20","368,211","2,368.48","10,977,079"
44550,12995269,"2,282.92","336,830","2,346.81","13,344,245"
44050,18277942,"2,286.23","301,309","2,335.87","15,156,544"
45850,12446344,"2,318.25","292,236","2,359.36","19,593,638"
45150,8123384,"2,303.01","343,167","2,330.28","22,423,678"
45500,9987090,"2,308.98","309,235","2,333.33","12,386,806"
46150,9367454,"2,308.46","350,949","2,331.65","13,729,858"
47250,13536966,"2,323.45","289,086","2,316.93","12,000,958"
47400,14476906,"2,339.17","321,704","2,305.82","11,622,774"
47500,15804586,"2,355.43","279,230","2,284.40","12,705,114"
46450,11270515,"2,343.07","317,870","2,261.15","13,127,209"
46350,6354983,"2,338.88","278,310","2,250.99","8,104,226"
45700,6607188,"2,309.57","287,868","2,205.77","11,815,992"
44700,11865327,"2,274.49","309,502","2,166.07","12,171,410"
44700,10544165,"2,267.52","282,139","2,129.36","12,843,928"
44950,6759464,"2,253.83","214,644","2,126.86","8,770,528"
45300,10341349,"2,228.61","365,684","2,076.96","12,894,898"
43100,19324537,"2,129.67","411,919","1,977.17","17,036,756"
44000,12640906,"2,161.85","292,574","2,034.91","13,143,541"
43800,7434522,"2,145.12","259,176","1,992.32","9,385,589"
43600,6825677,"2,145.12","222,512","2,044.27","9,209,367"
44150,8306193,"2,167.51","275,160","2,085.30","9,237,598"
44050,8347725,"2,148.31","321,763","2,053.12","7,298,238"
43900,7842520,"2,156.26","351,771","2,086.86","7,428,418"
43550,8357648,"2,161.71","308,740","2,070.39","6,926,020"
43050,9531231,"2,106.10","373,468","2,009.93","11,337,925"
42550,13522825,"2,097.58","399,734","1,986.86","12,073,083"
41000,19338170,"2,063.30","376,015","1,941.68","14,530,997"
41000,14413864,"2,027.15","449,198","1,935.33","14,820,123"
41400,14460521,"1,996.05","427,305","1,897.23","13,584,846"
42350,14205190,"2,014.69","441,585","1,967.37","16,902,134"
42400,17621480,"2,029.69","373,028","1,971.91","14,905,914"
